DateTime,Entries,UniqueIPs
1477683380,3085,3085
1477683849,3085,3085
1477684331,3086,3086
1477685056,3085,3085
1477685533,3086,3086
1477686014,3085,3085
1477686490,3086,3086
1477686973,3086,3086
1477688435,3085,3085
1477688892,3085,3085
1477689374,3086,3086
1477690331,3085,3085
1477690819,3086,3086
1477691299,3085,3085
1477691777,3086,3086
1477693460,3085,3085
1477693930,3087,3087
1477694412,3086,3086
1477694891,3087,3087
1477695371,3086,3086
1477695853,3087,3087
1477696329,3086,3086
1477696812,3087,3087
1477698733,3086,3086
1477699230,3086,3086
1477699691,3087,3087
1477700171,3086,3086
1477700651,3087,3087
1477701612,3086,3086
1477702089,3086,3086
1477702573,3087,3087
1477703051,3086,3086
1477703530,3086,3086
1477704011,3087,3087
1477704494,3087,3087
1477704968,3086,3086
1477705449,3086,3086
1477705931,3083,3083
1477706652,3085,3085
1477707136,3084,3084
1477707613,3085,3085
1477708579,3085,3085
1477710735,3083,3083
1477711213,3080,3080
1477711691,3082,3082
1477712181,3084,3084
1477712650,3083,3083
1477713134,3084,3084
1477713633,3083,3083
1477714092,3084,3084
1477715055,3083,3083
1477715531,3083,3083
1477716014,3084,3084
1477716490,3083,3083
1477716971,3083,3083
1477717456,3084,3084
1477717935,3082,3082
1477718415,3083,3083
1477718890,3083,3083
1477719850,3081,3081
1477720331,3084,3084
1477721297,3083,3083
1477721774,3082,3082
1477722252,3082,3082
1477722734,3081,3081
1477723213,3082,3082
1477724169,3081,3081
1477724651,3080,3080
1477725131,3081,3081
1477725613,3082,3082
1477726092,3083,3083
1477727531,3082,3082
1477728255,3082,3082
1477728732,3084,3084
1477729215,3084,3084
1477729695,3081,3081
1477730172,3083,3083
1477730652,3082,3082
1477731144,3082,3082
1477731853,3084,3084
1477732330,3083,3083
1477732814,3084,3084
1477733290,3085,3085
1477733772,3085,3085
1477734250,3087,3087
1477735453,3086,3086
1477735934,3086,3086
1477736410,3087,3087
1477736901,3086,3086
1477737378,3087,3087
1477738849,3086,3086
1477739294,3087,3087
1477739780,3086,3086
1477740251,3087,3087
1477741210,3086,3086
1477741695,3086,3086
1477742169,3085,3085
1477742655,3087,3087
1477747689,3086,3086
1477748170,3087,3087
1477748649,3086,3086
1477749130,3086,3086
1477749855,3087,3087
1477753931,3086,3086
1477754419,3087,3087
1477755385,3086,3086
1477755850,3086,3086
1477756335,3086,3086
1477756822,3087,3087
1477758254,3086,3086
1477758733,3087,3087
1477759212,3086,3086
1477759694,3087,3087
1477760174,3086,3086
1477760653,3087,3087
1477761131,3086,3086
1477761613,3087,3087
1477762095,3086,3086
1477762569,3086,3086
1477763059,3087,3087
1477764253,3086,3086
1477764734,3087,3087
1477767131,3086,3086
1477768836,3087,3087
1477769292,3086,3086
1477769784,3086,3086
1477770253,3085,3085
1477770736,3086,3086
1477771236,3085,3085
1477771697,3086,3086
1477773129,3085,3085
1477773612,3086,3086
1477774091,3085,3085
1477774578,3086,3086
1477775051,3085,3085
1477775531,3086,3086
1477776011,3085,3085
1477776497,3087,3087
1477776974,3086,3086
1477777451,3087,3087
1477777929,3086,3086
1477778447,3086,3086
1477779131,3086,3086
1477779614,3087,3087
1477781052,3086,3086
1477781532,3087,3087
1477783691,3086,3086
1477784191,3087,3087
1477784648,3086,3086
1477785132,3087,3087
1477789448,3085,3085
1477789937,3087,3087
1477790410,3087,3087
1477790894,3088,3088
1477791370,3087,3087
1477791859,3088,3088
1477792330,3087,3087
1477793050,3085,3085
1477793530,3087,3087
1477794011,3086,3086
1477794490,3087,3087
1477794981,3086,3086
1477795449,3086,3086
1477795929,3086,3086
1477796655,3086,3086
1477797130,3086,3086
1477797618,3086,3086
1477798091,3085,3085
1477798585,3086,3086
1477799048,3087,3087
1477799551,3086,3086
1477800027,3085,3085
1477800518,3085,3085
1477802649,3084,3084
1477803133,3085,3085
1477804334,3083,3083
1477804827,3081,3081
1477805295,3081,3081
1477805772,3082,3082
1477806253,3081,3081
1477806734,3081,3081
1477807299,3081,3081
1477807692,3081,3081
1477808172,3082,3082
1477808651,3081,3081
1477809385,3081,3081
1477809850,3081,3081
1477810336,3082,3082
1477811053,3083,3083
1477811530,3082,3082
1477812258,3081,3081
1477812731,3082,3082
1477813691,3081,3081
1477814174,3083,3083
1477814652,3084,3084
1477815614,3083,3083
1477816574,3082,3082
1477817052,3082,3082
1477817532,3082,3082
1477818250,3083,3083
1477820171,3082,3082
1477820649,3084,3084
1477821622,3083,3083
1477822091,3084,3084
1477823052,3083,3083
1477823534,3084,3084
1477824494,3083,3083
1477824969,3084,3084
1477825931,3083,3083
1477826411,3083,3083
1477826889,3084,3084
1477833131,3084,3084
1477833614,3084,3084
1477835049,3083,3083
1477835534,3083,3083
1477836253,3084,3084
1477843246,3083,3083
1477843692,3083,3083
1477844175,3083,3083
1477844651,3084,3084
1477846092,3083,3083
1477846573,3084,3084
1477847063,3082,3082
1477847531,3083,3083
1477848976,3082,3082
1477849450,3083,3083
1477856181,3082,3082
1477856660,3083,3083
1477859770,3082,3082
1477860251,3083,3083
