DateTime,Entries,UniqueIPs
1476429069,1663922,1744966
1476432529,1664365,1745486
1476436355,1662307,1743231
1476439734,1659316,1740018
1476443319,1656477,1737006
1476447141,1653580,1733933
1476458104,1639692,1719007
1476465119,1633068,1711806
1476468615,1631425,1710053
1476472315,1628911,1707363
1476475777,1626267,1704522
1476483163,1622331,1700331
1476486692,1619692,1697540
1476490202,1618918,1696734
1476493784,1617138,1694837
1476504745,1612826,1690218
1476515427,1611846,1689178
1476526659,1606016,1683001
1476529799,1604030,1680853
1476533513,1601486,1678103
1476537011,1597248,1673575
1476540701,1592516,1668389
1476544200,1587174,1662634
1476547837,1582745,1657830
1476555223,1578359,1653200
1476562304,1574167,1648789
1476565959,1571260,1645732
1476573304,1567290,1641567
1476580089,1563545,1637614
1476583895,1560445,1634297
1476587405,1558610,1632346
1476591106,1556566,1630133
1476594602,1555430,1628899
1476598095,1555029,1628481
1476605349,1553534,1626936
1476608996,1550059,1623221
1476612490,1546885,1619871
1476616232,1542857,1615569
1476623465,1536664,1608908
1476627037,1531010,1602873
1476634359,1524520,1595910
1476637876,1520901,1592066
1476641466,1519577,1590594
1476649010,1517423,1588331
1476662949,1518257,1589297
1476670387,1519484,1590604
1476673711,1520180,1591332
1476677517,1521136,1592344
1476698989,1523282,1594707
1476702457,1523025,1594440
1476713393,1526806,1598497
1476716920,1526746,1598456
1476720525,1526506,1598193
1476724104,1526661,1598360
1476731477,1527500,1599298
1476735015,1527731,1599564
1476738685,1528797,1600736
1476742300,1529528,1601529
1476745885,1530047,1602104
1476763756,1533423,1605849
1476767498,1534837,1607408
1476771090,1535909,1608586
1476774511,1535349,1608012
1476778120,1535613,1608298
1476789112,1537991,1610865
1476792546,1539715,1612719
1476800004,1543247,1616554
1476803329,1544225,1617628
1476810588,1544725,1618169
1476818013,1546397,1619928
1476821521,1546828,1620389
1476825023,1546864,1620431
1476828517,1546338,1619897
1476832108,1544746,1618202
1476839513,1543687,1617045
1476846528,1543286,1616618
1476850106,1543591,1616924
1476853739,1543285,1616583
1476857329,1542850,1616069
1476860917,1542160,1615337
1476868235,1539811,1612802
1476889724,1521561,1593330
1476893375,1518644,1590242
1476896921,1518288,1589830
1476904218,1512496,1583754
1476907867,1509376,1580417
1476915199,1503742,1574484
1476936770,1490694,1560582
1476940123,1489982,1559802
1476943705,1489306,1559078
1476947490,1487905,1557540
1476951064,1486514,1556059
1476954519,1483755,1553104
1476961989,1477193,1546034
1476965333,1474381,1543004
1476983520,1465048,1533053
1476994554,1461574,1529433
1476997900,1459209,1526964
1477001524,1457039,1524716
1477004910,1455009,1522583
1477008499,1452579,1520020
1477019548,1448602,1515802
1477022910,1446942,1513976
1477026672,1444476,1511321
1477030093,1443150,1509915
1477037473,1442815,1509536
1477041078,1443246,1509983
1477048339,1443398,1510159
1477051863,1444764,1511674
1477062762,1439746,1506392
1477066168,1437749,1504281
1477077118,1431043,1497291
1477080689,1429742,1495895
1477084098,1426886,1492865
1477087910,1423685,1489454
1477091309,1421299,1487004
1477094898,1419090,1484677
1477098513,1416271,1481726
1477109368,1409111,1474124
1477113066,1405986,1470702
1477116502,1405180,1469858
1477145550,1398114,1462455
1477148908,1395028,1459213
1477152520,1392636,1456708
1477159964,1385914,1449553
1477163280,1383942,1447466
1477166911,1382445,1445908
1477170681,1379340,1442568
1477174270,1376137,1439163
1477195908,1361525,1423838
1477210226,1356522,1418547
1477213746,1353264,1415163
1477217342,1348525,1410139
1477220874,1344831,1406183
1477224677,1343211,1404449
1477228100,1338744,1399698
1477231870,1335543,1396310
1477235462,1332346,1392871
1477238934,1331012,1391487
1477242698,1331656,1392217
1477257268,1331955,1392633
1477260701,1332050,1392736
1477264281,1331396,1392052
1477271573,1331183,1391828
1477275056,1331197,1391867
1477278685,1331472,1392158
1477282286,1331488,1392177
1477285869,1331753,1392491
1477293312,1330093,1390698
1477296576,1329731,1390293
1477300224,1328718,1389191
1477303652,1328025,1388429
1477307371,1327226,1387553
1477310873,1326214,1386480
1477314689,1350244,1412146
1477318572,1355630,1417823
1477333030,1372470,1435645
1477343383,1382474,1446321
1477347262,1387404,1451592
1477350285,1391537,1456032
1477354262,1393627,1458499
1477357997,1396922,1461985
1477368924,1403335,1468774
1477375988,1404544,1470081
1477379519,1404859,1470372
1477397549,1409410,1475324
1477404802,1412214,1478281
1477415707,1424057,1490956
1477422807,1427085,1494152
1477426447,1430309,1497525
1477429803,1433790,1501224
1477437446,1440489,1508282
1477440631,1443147,1511079
1477444444,1446679,1514846
1477448039,1448438,1516744
1477465903,1451396,1520093
1477469386,1452164,1520938
1477472948,1452279,1521075
1477484089,1461226,1530634
1477495005,1473359,1543528
1477520119,1483664,1554579
1477534220,1477867,1548493
1477541756,1475796,1546358
1477544947,1475107,1545633
1477548551,1474586,1545086
1477552317,1474703,1545230
1477559956,1479716,1550615
1477563066,1483178,1554304
1477566666,1487094,1558507
1477573984,1488323,1559789
1477577709,1488679,1560143
1477591978,1496679,1568911
1477595812,1496876,1569148
1477609854,1496006,1568389
1477613656,1495386,1567759
1477617210,1494547,1566906
1477624217,1491829,1564003
1477631472,1488496,1560445
1477635270,1490437,1562518
1477638876,1492074,1564341
1477642377,1494387,1566816
1477646177,1498242,1571042
1477653081,1497108,1569846
1477656662,1496511,1569247
1477664237,1494824,1567605
1477682222,1498504,1571715
1477685431,1499007,1572254
1477689180,1498435,1571655
1477692790,1496293,1569454
1477699755,1492445,1565507
1477714449,1489499,1562680
1477718003,1488104,1561204
1477725201,1482294,1555054
1477728526,1481832,1554579
1477732119,1480938,1553619
1477735716,1477567,1550021
1477742931,1470735,1542715
1477746698,1466767,1538440
1477750154,1463890,1535352
1477753934,1463746,1535262
1477764817,1458684,1529825
1477775361,1452966,1523789
1477793584,1442091,1512393
1477797086,1440293,1510531
1477800526,1438135,1508174
1477804310,1438020,1507981
1477807948,1438102,1507983
1477811327,1438286,1508129
1477815110,1438738,1508587
1477818699,1439246,1509066
1477822153,1439782,1509541
1477825731,1436711,1506248
1477829317,1432830,1502074
1477832916,1429003,1497975
1477836517,1425587,1494240
1477840127,1422460,1490884
1477843719,1419412,1487645
1477847315,1416870,1484957
1477858151,1409251,1476975
1477861714,1407367,1474992
1477865305,1406776,1474375
1477869088,1407183,1474794
1477872721,1407459,1475120
1477883515,1461129,1533326
1477890644,1458883,1530797
1477894344,1459715,1531635
1477897724,1460661,1532620
1477901334,1461256,1533221
1477904943,1461338,1533256
1477908705,1460892,1532677
1477912213,1457116,1528612
1477915798,1462935,1534810
1477919818,1463589,1535449
1477923075,1462116,1533778
1477926853,1461592,1533158
1477941282,1460893,1532386
1477962932,1471109,1543496
1477966389,1474344,1546974
1477969785,1477114,1549943
1477981406,1486594,1560092
1477991717,1490845,1564685
1477995031,1491206,1564976
1478009510,1503201,1577692
1478049359,1537207,1613987
1478052615,1538992,1615915
1478063711,1544066,1621373
1478070630,1546071,1623583
1478074338,1547049,1624656
1478077765,1547922,1625631
